Cod_pat,Time,Ax,Ay,Az,Mx,My,Mz,Ch,Label
11111,13/5/2018 12:47:14,-1.37,1.14,9.65,43.27,1.27,-57.55,1.68,0
11111,13/5/2018 12:47:15,-1.33,1.14,9.73,43.36,1.18,-57.65,1.56,0
11111,13/5/2018 12:47:17,-1.37,1.1,9.65,43.18,1.27,-57.35,1.69,0
11111,13/5/2018 12:47:18,-1.33,1.14,9.73,43.18,1.27,-57.35,1.69,0
11111,13/5/2018 12:47:20,-1.33,1.18,9.65,43,1.09,-57.24,1.45,0
11111,13/5/2018 12:47:22,-1.37,1.1,9.61,43.55,1.36,-57.45,1.79,0
11111,13/5/2018 12:47:23,-1.33,1.22,9.61,43.18,1.09,-57.65,1.45,0
11111,13/5/2018 12:47:25,-1.29,1.14,9.65,43.27,1.36,-57.76,1.8,0
11111,13/5/2018 12:47:26,-1.33,1.18,9.57,43.18,1.18,-57.76,1.57,0
11111,13/5/2018 12:47:28,-1.29,1.18,9.61,43.27,1.09,-57.45,1.44,0
11111,13/5/2018 12:47:30,-1.26,1.14,9.69,43.27,1.36,-57.35,1.8,0
11111,13/5/2018 12:47:31,-1.33,1.14,9.61,43,1.27,-57.55,1.7,0
11111,13/5/2018 12:47:33,-1.33,1.18,9.57,43.36,1.45,-57.65,1.92,0
11111,13/5/2018 12:47:35,-1.45,1.1,9.65,43.18,1.55,-57.55,2.05,0
11111,13/5/2018 12:47:36,-1.37,1.18,9.69,43.36,1.09,-57.45,1.44,0
11111,13/5/2018 12:47:40,-1.37,1.1,9.65,43.18,1.18,-57.35,1.57,0
11111,13/5/2018 12:47:41,-1.33,1.1,9.73,43.27,1,-57.35,1.32,0
11111,13/5/2018 12:47:43,-1.41,1.14,9.73,43.27,1.18,-57.45,1.56,0
11111,13/5/2018 12:47:45,-1.33,1.1,9.61,43.27,1.09,-57.55,1.44,0
11111,13/5/2018 12:47:46,-1.33,1.1,9.61,43.45,1.45,-57.45,1.92,0
11111,13/5/2018 12:47:48,-1.29,1.14,9.65,43.45,1.09,-57.35,1.44,0
11111,13/5/2018 12:47:50,-1.37,1.14,9.65,43.45,1.09,-57.14,1.44,0
11111,13/5/2018 12:47:51,-1.41,1.14,9.69,43.45,1.27,-57.45,1.68,0
11111,13/5/2018 12:47:53,-1.33,1.14,9.61,43.18,1.45,-57.55,1.93,0
11111,13/5/2018 12:47:54,-1.29,1.14,9.65,43.09,1.27,-57.65,1.69,0
